年份,臺北市,新北市,臺中市,臺南市,高雄市,宜蘭縣,桃園市,新竹市,新竹縣,苗栗縣,彰化縣,南投縣,雲林縣,嘉義市,嘉義縣,屏東縣,臺東縣,花蓮縣,澎湖縣,基隆市,金門縣,連江縣
87年,31457096,41303832,28424540,21811032,32139879,5591462,19607700.0,4248515,5102506,6718537,15597118,6551991,9011086,3153130,6799613,10938421,3016401,4285323,1085310,4565825,613343,89023
88年,31678534,41854107,28871659,21928393,32372332,5580026,20075122.0,4311847,5172010,6714541,15639163,6541842,8966253,3166944,6769644,10914142,2983018,4272707,1069826,4602707,615831,78788
89年,31753645,42482757,29304998,22045433,32582946,5578860,20558834.0,4383744,5237752,6714570,15692372,6505375,8929693,3187695,6743254,10891578,2955448,4252943,1069703,4640989,629316,79440
90年,31677954,43095708,29698632,22146355,32746905,5585525,20992114.0,4453219,5317268,6718310,15746602,6496541,8912304,3207888,6752560,10889881,2934099,4237050,1090995,4678068,671541,95864
91年,31636347,43518272,29966968,22200841,32846021,5581568,21341931.0,4512782,5397504,6729364,15782977,6497461,8921717,3210428,6755081,10891940,2934753,4229862,1110884,4691596,696304,109830
92年,31584354,43928642,30234269,22251358,32934852,5563286,21692768.0,4573083,5471189,6728118,15792940,6489475,8900790,3226859,6733043,10857336,2922850,4217188,1107922,4702125,719010,104932
93年,31496607,44320766,30471229,22298772,32987082,5549870,22061665.0,4619671,5559322,6727404,15796813,6470010,8856386,3240517,6704494,10821488,2896564,4199479,1102451,4707698,747210,108621
94年,31417414,44680744,30693507,22340649,33027181,5540803,22411066.0,4668409,5671618,6718492,15789745,6451867,8815173,3257326,6682675,10786463,2873215,4175838,1105992,4706251,810176,121147
95年,31483076,45007102,30922092,22375950,33074385,5530271,22751395.0,4713687,5794685,6718209,15783036,6435178,8774149,3265345,6667758,10751758,2851537,4157007,1105963,4692658,881998,119841
96年,31532461,45384650,31166533,22417628,33136675,5523157,23078977.0,4763709,5904501,6718402,15771528,6409599,8720368,3271790,6625434,10690619,2814687,4128490,1105110,4684320,951372,118160
97年,31529265,45777882,31393849,22460094,33199685,5530994,23366758.0,4829095,5996413,6720868,15759253,6392200,8698566,3284810,6593158,10642647,2791924,4108724,1112898,4673412,998218,118735
98年,31374824,46247233,31559863,22489369,33234917,5534051,23624259.0,4905075,6084937,6731140,15748068,6374595,8676476,3287924,6572830,10599568,2785475,4092616,1138637,4663854,1074915,117938
99年,31293672,46649086,31707657,22492321,33265263,5532853,23954324.0,4963497,6141076,6731858,15714155,6342296,8635160,3276812,6542285,10535228,2780612,4078974,1158422,4632504,1146724,119637
100年,31632701,46866156,31876214,22497937,33277981,5514845,24084664.0,5010685,6185047,6733905,15653275,6292597,8582624,3263733,6480823,10422047,2751933,4050866,1161804,4580087,1204954,120211
101年,31954768,47133683,32100468,22548679,33311375,5503104,24258568.0,5071566,6249085,6753775,15607282,6253908,8542696,3257633,6422208,10332703,2725557,4030601,1175211,4538922,1306193,126868
102年,32169728,47370364,32332721,22591041,33350612,5502925,24451528.0,5124043,6329193,6777556,15573800,6224126,8511524,3253996,6373152,10261000,2704865,4012886,1193600,4511737,1405434,141854
103年,32330573,47507539,32518662,22599950,33337894,5503909,24606616.0,5163072,6410628,6797511,15521556,6188105,8482159,3251052,6321665,10201604,2698073,4003367,1213978,4486838,1492831,148793
104年,32447367,47607012,32795645,22621812,33344333,5499587,25033216.0,5196012,6475059,6785411,15473300,6137601,8421631,3248568,6260664,10127031,2678922,3989117,1223557,4471920,1565546,150248
105年,32407790,47685177,33068573,22626017,33340977,5493249,25526620.0,5226113,6539176,6735215,15460692,6084119,8362978,3241346,6208140,10059671,2658063,3976312,1231119,4463683,1604556,150630
106年,32261159,47798687,33332241,22636088,33335289,5484000,26031206.0,5272317,6598984,6674312,15412254,6035986,8307779,3235577,6156013,9989260,2640749,3959568,1242860,4462126,1632723,152869
107年,32099363,47871985,33548855,22617691,33291237,5470187,26472973.0,5322203,6656141,6611785,15353002,5987628,8259100,3227801,6106969,9933726,2633131,3943034,1250209,4448549,1658054,156104
108年,31860764,48083611,33728984,22586828,33279867,5455141,26837698.0,5368607,6726172,6561267,15295282,5943752,8197438,3218404,6056030,9859163,2612171,3923620,1257934,4433309,1675532,156917
109年,31461418,48320712,33805969,22530658,33249038,5444487,27117200.0,5401465,6809610,6528264,15233434,5909818,8147221,3202667,6012818,9786069,2590548,3902287,1264521,4420441,1680527,157274
110年,30758580,48258620,33821754,22422595,33065798,5422843,27259485.0,5429197,6879856,6483469,15125952,5853825,8079036,3182329,5955427,9697996,2570686,3874091,1271147,4391445,1686651,161235
111年,29726589,47810243,33667095,22237054,32730379,5390652,27238942.0,5415385,6927752,6429375,14976355,5776643,7993996,3157724,5881753,9607100,2554522,3834261,1277890,4340024,1689138,166072
112年,30028772,48313687,34014386,22299665,32829915,5397348,27643919.0,5456445,7036276,6418608,14908286,5740635,7939195,3163100,5833861,9563612,2543520,3819141,1289744,4347808,1717752,168198
113年,2511291,4041869,2847264,1859800,2737530,449767,2319118.0,456535,589788,534432,1237760,476675,659564,263369,483902,794514,211357,317252,107745,362094,144173,14034
