年月份,總人口
87年1月,21758588.0
87年2月,21772205.0
87年3月,21787718.0
87年4月,21802054.0
87年5月,21817017.0
87年6月,21833772.0
87年7月,21850591.0
87年8月,21868153.0
87年9月,21883212.0
87年10月,21897679.0
87年11月,21912103.0
87年12月,21928591.0
88年1月,21940949.0
88年2月,21951677.0
88年3月,21966182.0
88年4月,21979444.0
88年5月,21993797.0
88年6月,22007891.0
88年7月,22022715.0
88年8月,22036811.0
88年9月,22048356.0
88年10月,22062227.0
88年11月,22077000.0
88年12月,22092387.0
89年1月,22106240.0
89年2月,22119943.0
89年3月,22134777.0
89年4月,22146733.0
89年5月,22159658.0
89年6月,22172529.0
89年7月,22188176.0
89年8月,22203034.0
89年9月,22218949.0
89年10月,22237846.0
89年11月,22256788.0
89年12月,22276672.0
90年1月,22290225.0
90年2月,22298931.0
90年3月,22308497.0
90年4月,22318234.0
90年5月,22328771.0
90年6月,22339536.0
90年7月,22350363.0
90年8月,22361298.0
90年9月,22368502.0
90年10月,22381970.0
90年11月,22393488.0
90年12月,22405568.0
91年1月,22414047.0
91年2月,22421793.0
91年3月,22429972.0
91年4月,22440435.0
91年5月,22448817.0
91年6月,22457488.0
91年7月,22467176.0
91年8月,22475585.0
91年9月,22484364.0
91年10月,22496285.0
91年11月,22507693.0
91年12月,22520776.0
92年1月,22528673.0
92年2月,22533951.0
92年3月,22540155.0
92年4月,22545429.0
92年5月,22549292.0
92年6月,22554253.0
92年7月,22560996.0
92年8月,22567203.0
92年9月,22573965.0
92年10月,22584281.0
92年11月,22593641.0
92年12月,22604550.0
93年1月,22610665.0
93年2月,22615997.0
93年3月,22621478.0
93年4月,22626589.0
93年5月,22632661.0
93年6月,22640250.0
93年7月,22647160.0
93年8月,22653642.0
93年9月,22659341.0
93年10月,22668274.0
93年11月,22678940.0
93年12月,22689122.0
94年1月,22696349.0
94年2月,22701627.0
94年3月,22703295.0
94年4月,22708280.0
94年5月,22715030.0
94年6月,22722559.0
94年7月,22730819.0
94年8月,22738559.0
94年9月,22744839.0
94年10月,22752547.0
94年11月,22761464.0
94年12月,22770383.0
95年1月,22778581.0
95年2月,22784720.0
95年3月,22791052.0
95年4月,22797314.0
95年5月,22805647.0
95年6月,22814636.0
95年7月,22823604.0
95年8月,22832173.0
95年9月,22839043.0
95年10月,22850661.0
95年11月,22863122.0
95年12月,22876527.0
96年1月,22879510.0
96年2月,22879132.0
96年3月,22880454.0
96年4月,22886902.0
96年5月,22894283.0
96年6月,22901897.0
96年7月,22911292.0
96年8月,22920250.0
96年9月,22925311.0
96年10月,22934997.0
96年11月,22945782.0
96年12月,22958360.0
97年1月,22966459.0
97年2月,22973622.0
97年3月,22978800.0
97年4月,22983286.0
97年5月,22988428.0
97年6月,22994262.0
97年7月,23000827.0
97年8月,23005067.0
97年9月,23007737.0
97年10月,23016257.0
97年11月,23027672.0
97年12月,23037031.0
98年1月,23046177.0
98年2月,23049407.0
98年3月,23058550.0
98年4月,23059339.0
98年5月,23063027.0
98年6月,23069345.0
98年7月,23077191.0
98年8月,23082125.0
98年9月,23086441.0
98年10月,23098049.0
98年11月,23109141.0
98年12月,23119772.0
99年1月,23124514.0
99年2月,23127845.0
99年3月,23131093.0
99年4月,23133074.0
99年5月,23135715.0
99年6月,23138381.0
99年7月,23142460.0
99年8月,23145020.0
99年9月,23146090.0
99年10月,23150923.0
99年11月,23157178.0
99年12月,23162123.0
100年1月,23164628.0
100年2月,23164457.0
100年3月,23165878.0
100年4月,23170321.0
100年5月,23174528.0
100年6月,23180477.0
100年7月,23188078.0
100年8月,23193638.0
100年9月,23197947.0
100年10月,23205605.0
100年11月,23214620.0
100年12月,23224912.0
101年1月,23230506.0
101年2月,23234003.0
101年3月,23239268.0
101年4月,23245018.0
101年5月,23252392.0
101年6月,23261747.0
101年7月,23268372.0
101年8月,23276441.0
101年9月,23282670.0
101年10月,23293593.0
101年11月,23305021.0
101年12月,23315822.0
102年1月,23324092.0
102年2月,23328602.0
102年3月,23332705.0
102年4月,23335580.0
102年5月,23340136.0
102年6月,23344213.0
102年7月,23349724.0
102年8月,23354061.0
102年9月,23356588.0
102年10月,23361147.0
102年11月,23367320.0
102年12月,23373517.0
103年1月,23377515.0
103年2月,23379129.0
103年3月,23379594.0
103年4月,23382948.0
103年5月,23386883.0
103年6月,23392036.0
103年7月,23398263.0
103年8月,23404243.0
103年9月,23410280.0
103年10月,23417116.0
103年11月,23424615.0
103年12月,23433753.0
104年1月,23440278.0
104年2月,23445534.0
104年3月,23449287.0
104年4月,23452387.0
104年5月,23456545.0
104年6月,23461562.0
104年7月,23461708.0
104年8月,23465003.0
104年9月,23468748.0
104年10月,23476640.0
104年11月,23483793.0
104年12月,23492074.0
105年1月,23496068.0
105年2月,23496935.0
105年3月,23496813.0
105年4月,23499404.0
105年5月,23503349.0
105年6月,23508362.0
105年7月,23514750.0
105年8月,23516841.0
105年9月,23519518.0
105年10月,23526295.0
105年11月,23532065.0
105年12月,23539816.0
106年1月,23543346.0
106年2月,23544189.0
106年3月,23545680.0
106年4月,23547448.0
106年5月,23550077.0
106年6月,23552470.0
106年7月,23554803.0
106年8月,23556169.0
106年9月,23557467.0
106年10月,23562318.0
106年11月,23566853.0
106年12月,23571227.0
107年1月,23572049.0
107年2月,23571408.0
107年3月,23571990.0
107年4月,23571497.0
107年5月,23572415.0
107年6月,23574274.0
107年7月,23576705.0
107年8月,23577271.0
107年9月,23577488.0
107年10月,23580833.0
107年11月,23584865.0
107年12月,23588932.0
108年1月,23590744.0
108年2月,23590004.0
108年3月,23589192.0
108年4月,23589312.0
108年5月,23589870.0
108年6月,23591031.0
108年7月,23592598.0
108年8月,23593794.0
108年9月,23593783.0
108年10月,23596266.0
108年11月,23598776.0
108年12月,23603121.0
109年1月,23604265.0
109年2月,23600903.0
109年3月,23596493.0
109年4月,23591920.0
109年5月,23586562.0
109年6月,23583823.0
109年7月,23578705.0
109年8月,23574334.0
109年9月,23568378.0
109年10月,23566471.0
109年11月,23563356.0
109年12月,23561236.0
110年1月,23548633.0
110年2月,23539588.0
110年3月,23525623.0
110年4月,23514196.0
110年5月,23499070.0
110年6月,23487509.0
110年7月,23470633.0
110年8月,23451837.0
110年9月,23430948.0
110年10月,23413879.0
110年11月,23394787.0
110年12月,23375314.0
111年1月,23349666.0
111年2月,23319776.0
111年3月,23268991.0
111年4月,23215015.0
111年5月,23196178.0
111年6月,23186278.0
111年7月,23190064.0
111年8月,23194554.0
111年9月,23198133.0
111年10月,23212056.0
111年11月,23233593.0
111年12月,23264640.0
112年1月,23301968.0
112年2月,23313550.0
112年3月,23332929.0
112年4月,23347374.0
112年5月,23361084.0
112年6月,23373283.0
112年7月,23392423.0
112年8月,23399654.0
112年9月,23404300.0
112年10月,23411858.0
112年11月,23415008.0
112年12月,23420442.0
113年1月,23419833.0
